NDVI,NDWI,MSI,VV_dB,VH_dB,VV_VH_ratio,growth_fraction,crop_label,stage_label,stress_label,deficit_pct
0.509,0.385,1.054,-18.83,-13.0,1.448,0.222,Pulses,Vegetative,Healthy,11.4
0.783,0.434,0.956,-18.26,-12.45,1.467,0.623,Wheat,Heading/Flowering,Healthy,3.4
0.373,0.115,1.581,-20.0,-14.35,1.394,0.067,Rice,Sowing,Severe Stress,57.6
0.818,0.334,1.189,-19.13,-12.85,1.489,0.469,Wheat,Heading/Flowering,Mild Stress,24.2
0.542,0.302,1.216,-18.87,-13.45,1.403,0.162,Wheat,Vegetative,Mild Stress,25.2
0.717,0.212,1.387,-19.53,-13.42,1.455,0.27,Maize,Vegetative,Moderate Stress,40.2
0.757,0.236,1.363,-19.46,-13.45,1.447,0.717,Rice,Maturity,Moderate Stress,38.7
0.231,0.313,1.243,-19.04,-14.01,1.359,0.023,Wheat,Sowing,Mild Stress,27.5
0.806,0.295,1.237,-19.38,-13.17,1.472,0.423,Wheat,Vegetative,Moderate Stress,30.4
0.819,0.342,1.149,-18.94,-12.81,1.479,0.485,Wheat,Heading/Flowering,Mild Stress,22.2
0.638,0.119,1.555,-19.98,-14.09,1.418,0.79,Maize,Maturity,Severe Stress,59.0
0.54,0.431,0.968,-18.39,-13.08,1.406,0.85,Maize,Maturity,Healthy,6.2
0.731,0.373,1.112,-18.93,-13.02,1.454,0.308,Wheat,Vegetative,Mild Stress,16.3
0.737,0.223,1.334,-19.55,-13.49,1.449,0.733,Rice,Maturity,Moderate Stress,38.1
0.579,0.231,1.334,-19.54,-13.57,1.44,0.185,Wheat,Vegetative,Moderate Stress,38.1
0.185,0.415,1.032,-18.37,-13.44,1.367,0.99,Maize,Harvest,Healthy,7.8
0.497,0.21,1.407,-19.55,-13.76,1.421,0.789,Pulses,Maturity,Moderate Stress,42.3
0.862,0.44,0.956,-18.25,-12.29,1.485,0.583,Rice,Heading/Flowering,Healthy,2.2
0.473,0.437,0.975,-18.24,-13.12,1.39,0.189,Pulses,Vegetative,Healthy,2.5
0.716,0.398,1.06,-18.87,-12.71,1.485,0.708,Wheat,Maturity,Healthy,12.6
0.37,0.201,1.42,-19.77,-14.16,1.396,0.889,Pulses,Maturity,Moderate Stress,45.0
0.541,0.161,1.435,-19.63,-13.85,1.417,0.858,Rice,Maturity,Severe Stress,48.6
0.85,0.134,1.548,-19.86,-13.58,1.462,0.5,Maize,Heading/Flowering,Severe Stress,55.8
0.766,0.397,1.019,-18.47,-12.64,1.461,0.292,Rice,Vegetative,Healthy,9.6
0.359,0.371,1.073,-18.86,-13.26,1.422,0.931,Wheat,Harvest,Healthy,13.3
0.749,0.382,1.059,-18.78,-12.79,1.468,0.3,Maize,Vegetative,Healthy,13.4
0.419,0.126,1.55,-19.84,-14.29,1.388,0.09,Maize,Vegetative,Severe Stress,58.0
0.229,0.12,1.549,-20.22,-14.52,1.393,0.967,Pulses,Harvest,Severe Stress,58.9
0.819,0.414,1.05,-18.53,-12.74,1.454,0.515,Wheat,Heading/Flowering,Healthy,10.7
0.502,0.349,1.141,-18.9,-13.3,1.421,0.862,Wheat,Maturity,Mild Stress,20.7
0.655,0.15,1.512,-19.72,-13.62,1.448,0.762,Wheat,Maturity,Severe Stress,54.0
0.171,0.279,1.251,-19.36,-14.13,1.37,0.011,Pulses,Sowing,Moderate Stress,31.2
0.849,0.316,1.221,-19.2,-12.79,1.501,0.392,Rice,Vegetative,Mild Stress,25.9
0.54,0.164,1.468,-19.89,-13.99,1.422,0.85,Maize,Maturity,Severe Stress,50.9
0.522,0.33,1.209,-19.14,-13.21,1.449,0.86,Maize,Maturity,Mild Stress,24.5
0.657,0.312,1.18,-19.18,-13.16,1.457,0.208,Rice,Vegetative,Mild Stress,25.2
0.814,0.272,1.311,-19.5,-12.98,1.502,0.658,Rice,Heading/Flowering,Moderate Stress,34.1
0.807,0.377,1.08,-18.49,-12.6,1.467,0.37,Maize,Vegetative,Healthy,12.6
0.825,0.301,1.22,-19.29,-12.89,1.497,0.6,Maize,Heading/Flowering,Mild Stress,26.5
0.766,0.435,0.983,-18.48,-12.67,1.459,0.708,Rice,Maturity,Healthy,5.1
0.483,0.159,1.46,-19.69,-14.12,1.394,0.12,Maize,Vegetative,Severe Stress,49.1
0.525,0.398,1.048,-18.48,-13.09,1.412,0.867,Rice,Maturity,Healthy,11.9
0.387,0.165,1.472,-19.78,-14.26,1.387,0.878,Pulses,Maturity,Severe Stress,51.0
0.694,0.208,1.401,-19.58,-13.61,1.439,0.767,Rice,Maturity,Moderate Stress,41.8
0.624,0.198,1.439,-19.69,-13.8,1.427,0.215,Wheat,Vegetative,Severe Stress,46.7
0.316,0.277,1.294,-19.24,-14.0,1.374,0.078,Pulses,Sowing,Moderate Stress,33.4
0.541,0.301,1.242,-18.97,-13.24,1.433,0.858,Rice,Maturity,Mild Stress,27.9
0.26,0.144,1.5,-20.05,-14.19,1.413,0.97,Maize,Harvest,Severe Stress,53.5
0.497,0.302,1.222,-19.04,-13.45,1.416,0.789,Pulses,Maturity,Mild Stress,26.8
0.623,0.201,1.404,-19.78,-13.69,1.445,0.378,Pulses,Vegetative,Severe Stress,45.1
0.353,0.387,1.06,-18.82,-13.57,1.387,0.9,Pulses,Maturity,Healthy,14.4
0.766,0.332,1.123,-18.84,-12.99,1.45,0.292,Rice,Vegetative,Mild Stress,20.2
0.716,0.332,1.167,-19.12,-12.84,1.489,0.25,Rice,Vegetative,Mild Stress,23.0
0.636,0.345,1.141,-18.71,-13.0,1.439,0.589,Pulses,Heading/Flowering,Mild Stress,19.9
0.644,0.147,1.533,-19.94,-13.78,1.447,0.556,Pulses,Heading/Flowering,Severe Stress,54.3
0.585,0.464,0.94,-18.35,-12.67,1.448,0.689,Pulses,Heading/Flowering,Healthy,0.4
0.52,0.191,1.419,-19.52,-13.68,1.427,0.767,Pulses,Maturity,Moderate Stress,44.9
0.878,0.384,1.088,-18.81,-12.72,1.479,0.525,Rice,Heading/Flowering,Healthy,13.2
0.522,0.21,1.392,-19.67,-13.66,1.44,0.86,Maize,Maturity,Moderate Stress,40.7
0.473,0.127,1.559,-19.89,-13.99,1.422,0.189,Pulses,Vegetative,Severe Stress,58.8
0.555,0.245,1.373,-19.64,-13.65,1.439,0.169,Wheat,Vegetative,Moderate Stress,38.6
0.819,0.334,1.164,-19.01,-12.79,1.486,0.515,Wheat,Heading/Flowering,Mild Stress,22.7
0.632,0.196,1.446,-19.77,-13.74,1.439,0.4,Pulses,Vegetative,Severe Stress,45.1
0.359,0.462,0.932,-18.19,-13.14,1.384,0.931,Wheat,Harvest,Healthy,1.2
0.739,0.22,1.373,-19.52,-13.32,1.465,0.29,Maize,Vegetative,Moderate Stress,39.0
0.82,0.388,1.08,-18.79,-12.67,1.483,0.492,Wheat,Heading/Flowering,Healthy,12.0
0.88,0.238,1.372,-19.67,-13.15,1.496,0.508,Rice,Heading/Flowering,Moderate Stress,40.2
0.185,0.332,1.167,-19.0,-13.74,1.383,0.99,Maize,Harvest,Mild Stress,22.1
0.744,0.104,1.563,-20.02,-13.81,1.45,0.323,Wheat,Vegetative,Severe Stress,57.9
0.705,0.233,1.396,-19.51,-13.35,1.461,0.74,Maize,Maturity,Moderate Stress,40.6
0.415,0.258,1.333,-19.45,-13.94,1.395,0.083,Rice,Vegetative,Moderate Stress,35.5
0.483,0.245,1.314,-19.51,-13.72,1.422,0.88,Maize,Maturity,Moderate Stress,36.0
0.738,0.265,1.266,-19.39,-13.11,1.479,0.685,Wheat,Heading/Flowering,Moderate Stress,32.0
0.225,0.17,1.462,-19.68,-14.48,1.359,0.02,Maize,Sowing,Severe Stress,51.0
0.592,0.146,1.534,-19.82,-13.79,1.437,0.82,Maize,Maturity,Severe Stress,53.5
0.67,0.28,1.274,-19.23,-13.39,1.436,0.783,Rice,Maturity,Moderate Stress,31.3
0.599,0.3,1.233,-18.95,-13.28,1.427,0.667,Pulses,Heading/Flowering,Mild Stress,26.1
0.473,0.127,1.542,-20.17,-14.15,1.425,0.892,Rice,Maturity,Severe Stress,56.1
0.473,0.244,1.328,-19.38,-13.57,1.428,0.811,Pulses,Maturity,Moderate Stress,36.6
0.68,0.284,1.269,-19.18,-13.33,1.439,0.24,Maize,Vegetative,Mild Stress,29.3
0.667,0.2,1.375,-19.53,-13.7,1.426,0.77,Maize,Maturity,Moderate Stress,42.1
0.435,0.388,1.069,-18.79,-13.2,1.423,0.092,Rice,Vegetative,Healthy,14.5
0.727,0.279,1.254,-18.98,-13.0,1.46,0.742,Rice,Maturity,Mild Stress,28.6
0.579,0.353,1.142,-18.97,-13.14,1.444,0.185,Wheat,Vegetative,Mild Stress,17.7
0.82,0.269,1.279,-19.45,-13.24,1.469,0.61,Maize,Heading/Flowering,Moderate Stress,33.2
0.846,0.22,1.39,-19.59,-13.28,1.475,0.46,Maize,Heading/Flowering,Moderate Stress,42.2
0.788,0.363,1.132,-19.07,-12.81,1.489,0.385,Wheat,Vegetative,Mild Stress,18.9
0.657,0.393,1.058,-18.86,-13.0,1.451,0.208,Rice,Vegetative,Healthy,13.0
0.502,0.179,1.456,-19.7,-13.84,1.423,0.13,Maize,Vegetative,Severe Stress,50.0
0.225,0.204,1.406,-19.55,-14.18,1.379,0.02,Maize,Sowing,Moderate Stress,42.5
0.806,0.221,1.408,-19.47,-13.2,1.475,0.577,Wheat,Heading/Flowering,Moderate Stress,41.8
0.432,0.146,1.516,-19.69,-14.29,1.378,0.156,Pulses,Vegetative,Severe Stress,52.4
0.65,0.411,1.037,-18.81,-12.99,1.448,0.489,Pulses,Heading/Flowering,Healthy,11.1
0.446,0.154,1.469,-19.93,-13.92,1.432,0.167,Pulses,Vegetative,Severe Stress,49.3
0.723,0.405,1.042,-18.76,-12.91,1.453,0.3,Wheat,Vegetative,Healthy,9.0
0.525,0.249,1.306,-19.41,-13.41,1.447,0.133,Rice,Vegetative,Moderate Stress,33.5
0.588,0.27,1.275,-19.18,-13.37,1.435,0.833,Rice,Maturity,Moderate Stress,31.4
0.644,0.27,1.317,-19.51,-13.41,1.455,0.444,Pulses,Vegetative,Moderate Stress,34.1
0.803,0.23,1.344,-19.43,-13.32,1.459,0.415,Wheat,Vegetative,Moderate Stress,37.5
0.631,0.266,1.265,-19.22,-13.56,1.417,0.192,Rice,Vegetative,Moderate Stress,33.1
0.639,0.443,0.922,-18.34,-12.64,1.451,0.422,Pulses,Vegetative,Healthy,2.0
0.37,0.217,1.385,-19.65,-13.79,1.425,0.111,Pulses,Vegetative,Moderate Stress,41.2
0.875,0.42,0.979,-18.66,-12.39,1.506,0.458,Rice,Heading/Flowering,Healthy,6.9
0.608,0.424,0.966,-18.3,-12.8,1.43,0.19,Maize,Vegetative,Healthy,4.3
0.838,0.428,1.014,-18.64,-12.38,1.506,0.57,Maize,Heading/Flowering,Healthy,7.5
0.793,0.273,1.28,-19.18,-13.0,1.475,0.65,Maize,Heading/Flowering,Moderate Stress,32.4
0.648,0.233,1.304,-19.28,-13.56,1.422,0.467,Pulses,Heading/Flowering,Moderate Stress,36.2
0.818,0.271,1.292,-19.44,-13.23,1.469,0.531,Wheat,Heading/Flowering,Moderate Stress,34.6
0.632,0.395,1.049,-18.58,-13.03,1.426,0.4,Pulses,Vegetative,Healthy,10.9
0.402,0.305,1.258,-19.16,-13.62,1.407,0.133,Pulses,Vegetative,Mild Stress,28.2
0.744,0.336,1.152,-18.81,-12.92,1.456,0.323,Wheat,Vegetative,Mild Stress,19.8
0.497,0.465,0.951,-18.53,-12.96,1.43,0.789,Pulses,Maturity,Healthy,2.2
0.603,0.167,1.486,-19.69,-13.9,1.417,0.8,Wheat,Maturity,Severe Stress,51.9
0.636,0.447,0.939,-18.6,-12.56,1.481,0.589,Pulses,Heading/Flowering,Healthy,3.3
0.353,0.293,1.199,-18.91,-13.51,1.4,0.9,Pulses,Maturity,Mild Stress,26.5
0.179,0.363,1.124,-18.95,-13.87,1.366,0.992,Rice,Harvest,Mild Stress,17.3
0.819,0.215,1.384,-19.38,-13.39,1.447,0.477,Wheat,Heading/Flowering,Moderate Stress,42.6
0.402,0.369,1.07,-18.55,-13.28,1.397,0.133,Pulses,Vegetative,Healthy,13.5
0.731,0.299,1.233,-19.02,-13.31,1.429,0.308,Wheat,Vegetative,Mild Stress,29.9
0.846,0.152,1.483,-19.72,-13.43,1.468,0.54,Maize,Heading/Flowering,Severe Stress,50.1
0.862,0.4,1.047,-18.76,-12.6,1.489,0.417,Rice,Vegetative,Healthy,11.4
0.395,0.447,0.979,-18.46,-13.26,1.392,0.925,Rice,Harvest,Healthy,4.2
0.85,0.286,1.245,-19.2,-12.9,1.488,0.5,Maize,Heading/Flowering,Moderate Stress,30.5
0.68,0.268,1.308,-19.19,-13.5,1.421,0.76,Maize,Maturity,Moderate Stress,34.8
0.52,0.294,1.266,-19.07,-13.29,1.435,0.767,Pulses,Maturity,Mild Stress,29.1
0.606,0.12,1.559,-19.9,-13.77,1.445,0.656,Pulses,Heading/Flowering,Severe Stress,56.0
0.844,0.316,1.189,-18.79,-12.96,1.45,0.617,Rice,Heading/Flowering,Mild Stress,23.0
0.291,0.299,1.22,-19.29,-13.73,1.405,0.96,Maize,Harvest,Mild Stress,28.4
0.877,0.112,1.582,-19.91,-13.36,1.49,0.533,Rice,Heading/Flowering,Severe Stress,57.9
0.502,0.139,1.521,-20.03,-14.04,1.427,0.13,Maize,Vegetative,Severe Stress,52.5
0.202,0.193,1.396,-19.74,-14.23,1.387,0.022,Pulses,Sowing,Moderate Stress,43.3
0.415,0.31,1.255,-19.07,-13.44,1.419,0.083,Rice,Vegetative,Mild Stress,28.2
0.297,0.438,0.989,-18.48,-13.33,1.386,0.933,Pulses,Harvest,Healthy,4.8
0.646,0.244,1.355,-19.27,-13.62,1.415,0.456,Pulses,Heading/Flowering,Moderate Stress,37.6
0.502,0.389,1.099,-18.76,-13.08,1.434,0.138,Wheat,Vegetative,Healthy,14.1
0.644,0.427,0.984,-18.62,-12.57,1.481,0.8,Rice,Maturity,Healthy,5.4
0.474,0.391,1.028,-18.59,-13.25,1.403,0.877,Wheat,Maturity,Healthy,10.0
0.396,0.352,1.105,-18.8,-13.36,1.407,0.08,Maize,Vegetative,Mild Stress,17.6
0.473,0.224,1.361,-19.69,-13.73,1.434,0.811,Pulses,Maturity,Moderate Stress,40.9
0.37,0.218,1.396,-19.73,-13.93,1.416,0.889,Pulses,Maturity,Moderate Stress,41.0
0.88,0.224,1.36,-19.54,-13.15,1.486,0.5,Rice,Heading/Flowering,Moderate Stress,38.3
0.636,0.217,1.389,-19.4,-13.44,1.443,0.411,Pulses,Vegetative,Moderate Stress,40.7
0.68,0.356,1.105,-18.75,-12.81,1.464,0.76,Maize,Maturity,Mild Stress,17.9
0.642,0.381,1.054,-18.85,-12.7,1.484,0.433,Pulses,Vegetative,Healthy,12.0
0.858,0.264,1.316,-19.21,-13.2,1.455,0.408,Rice,Vegetative,Moderate Stress,34.3
0.26,0.104,1.565,-20.01,-14.58,1.372,0.03,Maize,Sowing,Severe Stress,58.7
0.204,0.156,1.482,-19.84,-14.49,1.369,0.985,Wheat,Harvest,Severe Stress,50.0
0.821,0.189,1.431,-19.93,-13.3,1.498,0.65,Rice,Heading/Flowering,Severe Stress,48.1
0.502,0.178,1.404,-19.5,-14.03,1.39,0.87,Maize,Maturity,Severe Stress,45.3
0.8,0.426,0.987,-18.59,-12.38,1.502,0.675,Rice,Heading/Flowering,Healthy,5.8
0.276,0.247,1.289,-19.32,-13.78,1.402,0.056,Pulses,Sowing,Moderate Stress,34.8
0.834,0.193,1.429,-19.8,-13.46,1.471,0.42,Maize,Vegetative,Moderate Stress,44.8
0.768,0.274,1.269,-19.08,-13.29,1.436,0.68,Maize,Heading/Flowering,Moderate Stress,30.1
0.639,0.195,1.395,-19.47,-13.75,1.416,0.422,Pulses,Vegetative,Moderate Stress,44.8
0.708,0.192,1.435,-19.56,-13.35,1.465,0.285,Wheat,Vegetative,Severe Stress,45.2
0.485,0.324,1.162,-18.92,-13.21,1.432,0.8,Pulses,Maturity,Mild Stress,21.9
0.428,0.346,1.149,-18.84,-13.34,1.412,0.9,Wheat,Maturity,Mild Stress,22.1
0.335,0.123,1.528,-19.82,-14.3,1.386,0.911,Pulses,Maturity,Severe Stress,56.4
0.768,0.138,1.529,-19.96,-13.8,1.446,0.646,Wheat,Heading/Flowering,Severe Stress,54.9
0.12,0.342,1.141,-18.96,-13.84,1.37,1.0,Pulses,Harvest,Mild Stress,18.1
0.796,0.121,1.589,-20.18,-13.78,1.464,0.6,Wheat,Heading/Flowering,Severe Stress,59.8
0.862,0.293,1.224,-19.15,-12.84,1.491,0.417,Rice,Vegetative,Mild Stress,27.2
0.432,0.205,1.439,-19.67,-14.06,1.399,0.844,Pulses,Maturity,Moderate Stress,44.5
0.256,0.233,1.331,-19.28,-14.2,1.358,0.969,Wheat,Harvest,Moderate Stress,36.9
0.728,0.307,1.226,-19.06,-13.22,1.442,0.28,Maize,Vegetative,Mild Stress,26.6
0.692,0.256,1.306,-19.13,-13.37,1.431,0.731,Wheat,Maturity,Moderate Stress,32.7
0.632,0.396,1.039,-18.59,-12.84,1.448,0.4,Pulses,Vegetative,Healthy,11.4
0.402,0.228,1.349,-19.61,-13.86,1.415,0.133,Pulses,Vegetative,Moderate Stress,39.8
0.428,0.194,1.459,-19.8,-13.85,1.43,0.1,Wheat,Vegetative,Severe Stress,47.2
0.395,0.16,1.492,-19.71,-13.94,1.414,0.075,Rice,Sowing,Severe Stress,49.8
0.827,0.184,1.415,-19.74,-13.55,1.457,0.358,Rice,Vegetative,Severe Stress,46.5
0.608,0.1,1.58,-19.96,-13.94,1.432,0.19,Maize,Vegetative,Severe Stress,59.3
0.321,0.409,1.034,-18.5,-13.28,1.393,0.054,Wheat,Sowing,Healthy,7.9
0.26,0.396,1.055,-18.49,-13.41,1.379,0.03,Maize,Sowing,Healthy,10.5
0.488,0.279,1.218,-19.02,-13.32,1.428,0.131,Wheat,Vegetative,Mild Stress,28.6
0.443,0.293,1.251,-19.07,-13.61,1.401,0.892,Wheat,Maturity,Moderate Stress,30.2
0.83,0.24,1.368,-19.5,-13.22,1.475,0.59,Maize,Heading/Flowering,Moderate Stress,38.6
0.627,0.208,1.366,-19.42,-13.46,1.443,0.611,Pulses,Heading/Flowering,Moderate Stress,41.2
0.542,0.351,1.161,-18.78,-13.1,1.434,0.162,Wheat,Vegetative,Mild Stress,19.3
0.85,0.12,1.582,-19.93,-13.78,1.446,0.49,Maize,Heading/Flowering,Severe Stress,59.7
0.418,0.166,1.435,-19.55,-13.85,1.412,0.144,Pulses,Vegetative,Severe Stress,47.6
0.877,0.299,1.229,-19.16,-12.87,1.489,0.467,Rice,Heading/Flowering,Mild Stress,27.1
0.639,0.324,1.217,-18.86,-13.01,1.45,0.578,Pulses,Heading/Flowering,Mild Stress,25.0
0.849,0.136,1.562,-20.09,-13.68,1.469,0.48,Maize,Heading/Flowering,Severe Stress,57.2
0.555,0.417,0.989,-18.37,-13.0,1.413,0.169,Wheat,Vegetative,Healthy,5.6
0.854,0.432,0.952,-18.57,-12.53,1.482,0.6,Rice,Heading/Flowering,Healthy,3.6
0.579,0.347,1.137,-18.93,-13.14,1.441,0.815,Wheat,Maturity,Mild Stress,21.2
0.808,0.247,1.328,-19.25,-13.05,1.475,0.569,Wheat,Heading/Flowering,Moderate Stress,36.0
0.588,0.217,1.34,-19.33,-13.56,1.426,0.167,Rice,Vegetative,Moderate Stress,39.4
0.54,0.193,1.444,-19.86,-13.72,1.448,0.15,Maize,Vegetative,Severe Stress,45.8
0.818,0.452,0.922,-18.45,-12.6,1.464,0.531,Wheat,Heading/Flowering,Healthy,1.7
0.844,0.449,0.95,-18.31,-12.28,1.491,0.45,Maize,Heading/Flowering,Healthy,0.4
0.353,0.405,1.024,-18.48,-13.26,1.394,0.1,Pulses,Vegetative,Healthy,8.5
0.858,0.324,1.192,-19.18,-12.98,1.478,0.408,Rice,Vegetative,Mild Stress,25.2
0.12,0.126,1.567,-20.18,-14.57,1.385,1.0,Maize,Harvest,Severe Stress,56.5
0.602,0.195,1.44,-19.46,-13.78,1.412,0.175,Rice,Vegetative,Severe Stress,45.3
0.276,0.321,1.225,-18.87,-13.55,1.393,0.944,Pulses,Harvest,Mild Stress,25.4
0.631,0.278,1.259,-19.11,-13.39,1.427,0.808,Rice,Maturity,Moderate Stress,30.7
0.531,0.234,1.356,-19.39,-13.86,1.399,0.756,Pulses,Maturity,Moderate Stress,40.0
0.204,0.382,1.084,-18.61,-13.69,1.359,0.015,Wheat,Sowing,Healthy,12.3
0.814,0.333,1.119,-18.97,-12.69,1.495,0.38,Maize,Vegetative,Mild Stress,19.7
0.541,0.335,1.16,-19.1,-13.46,1.419,0.142,Rice,Vegetative,Mild Stress,22.8
0.441,0.334,1.203,-18.96,-13.29,1.427,0.1,Maize,Vegetative,Mild Stress,23.8
0.37,0.154,1.496,-20.02,-14.32,1.398,0.111,Pulses,Vegetative,Severe Stress,51.7
0.639,0.414,1.007,-18.33,-12.61,1.454,0.422,Pulses,Vegetative,Healthy,6.9
0.171,0.133,1.527,-19.77,-14.67,1.348,0.989,Pulses,Harvest,Severe Stress,55.2
0.877,0.248,1.327,-19.24,-13.22,1.455,0.467,Rice,Heading/Flowering,Moderate Stress,35.3
0.291,0.334,1.141,-18.8,-13.42,1.401,0.96,Maize,Harvest,Mild Stress,20.4
0.82,0.4,1.055,-18.74,-12.82,1.462,0.5,Wheat,Heading/Flowering,Healthy,11.6
0.727,0.42,0.976,-18.31,-12.46,1.47,0.258,Rice,Vegetative,Healthy,6.2
0.617,0.192,1.43,-19.83,-13.65,1.453,0.817,Rice,Maturity,Severe Stress,45.5
0.599,0.187,1.41,-19.81,-13.69,1.447,0.667,Pulses,Heading/Flowering,Severe Stress,45.3
0.608,0.362,1.148,-18.67,-13.05,1.431,0.81,Maize,Maturity,Mild Stress,19.0
0.801,0.264,1.312,-19.27,-13.25,1.454,0.36,Maize,Vegetative,Moderate Stress,35.5
0.612,0.455,0.932,-18.47,-12.6,1.466,0.644,Pulses,Heading/Flowering,Healthy,2.3
0.12,0.318,1.171,-19.09,-14.08,1.356,1.0,Wheat,Harvest,Mild Stress,23.1
0.443,0.139,1.516,-19.99,-14.16,1.412,0.892,Wheat,Maturity,Severe Stress,54.5
0.56,0.409,1.032,-18.53,-13.0,1.425,0.722,Pulses,Maturity,Healthy,9.1
0.396,0.449,0.993,-18.3,-12.95,1.413,0.92,Maize,Harvest,Healthy,5.1
0.617,0.287,1.292,-19.07,-13.5,1.413,0.633,Pulses,Heading/Flowering,Moderate Stress,31.4
0.85,0.325,1.214,-19.13,-12.86,1.488,0.5,Maize,Heading/Flowering,Mild Stress,24.5
0.419,0.336,1.135,-19.07,-13.59,1.403,0.09,Maize,Vegetative,Mild Stress,19.8
0.371,0.146,1.494,-19.8,-14.25,1.389,0.93,Maize,Harvest,Severe Stress,51.1
